distance,temp
0.99,63.5
1.22,68
1.71,56.5
0.64,49
2.04,50.5
0.46,54
1.9,56.5
1.78,50.5
0.71,46
1.19,42
1.44,39.5
1.82,43
0.84,46.5
2.86,37.5
0.76,34
1.18,39.5
2.08,42
1.05,41.5
4.5,45.5
2.6,43
2.29,35.5
2.75,22.5
2.6,23.5
2.93,40
2.25,50
0.93,49
1.36,41
2.06,39
0.82,42
0.51,40.5
2.14,41
1.09,49
1.22,50.5
1.66,38.5
3.57,32.5
3.22,35
2.21,33.5
1.13,30
2.47,32
2.14,34
3.28,35
2.19,37
1.97,36.5
2.3,45.5
2.27,49
2.19,40.5
2.51,41.5
1.67,34
1.04,34
2.53,42
2.56,54
2.96,47
3.38,39.5
2.38,39.5
3.18,36.5
1.22,37.5
2.86,40.5
1.46,51.5
2.15,48
1.87,36.5
1.08,42
2.95,48.5
2.94,37.5
1.71,40.5
1.47,41
1.87,44
1.94,40
2.7,29.5
2.4,39.5
2.15,39.5
2.68,31
3.61,25.5
1.95,27
2.81,29
2.02,27
1.26,30.5
2.01,34.5
3.98,28.5
1.41,34
2.17,34.5
0.53,28
1.87,9
3.25,22
0.84,41.5
2.44,47
3.58,34
3.33,29.5
2.11,40.5
2.48,31.5
3.28,34
1.47,20.5
3.47,9
0.87,16
2.51,25
0.68,43
2.16,51
3.53,54.5
1.2,40.5
2.66,41.5
1.29,43.5
1.07,27.5
0.21,29
3.22,34
0.71,31
1.84,37
4.45,39.5
2.4,50.5
3,39.5
2.87,32
0.46,34
2.94,29.5
1.56,29.5
3.15,42.5
1.71,40
1.08,37
2.32,41.5
1.15,35.5
3.44,30.5
2.24,27
3.25,32
1.82,30.5
1.64,36
0.81,37.5
0.55,33
3.3,26
2.24,22.5
2.89,25
1.28,31.5
1.81,41.5
0.92,39
1.75,46
3.5,39
1.98,40.5
4.38,49.5
0.89,62
1.96,47.5
1.82,39.5
1.83,39
3.74,43
1.52,45
2.32,43.5
2.21,43.5
2.39,41.5
2.09,49
1.44,49
2.1,41
2.16,40.5
3.62,45
0.44,54
2.06,61
2.43,52
1.72,39.5
2.81,45.5
1.71,54
3.03,52
0.44,41.5
1.66,53.5
1.47,58.5
1.8,64
3.46,48.5
2.23,52.5
4.71,47.5
2.83,57
1.85,68
1.58,66.5
1.8,55.5
2.32,55
2.35,55.5
3.44,56.5
3.15,69
1.46,59.5
2.74,59.5
1.09,58
1.92,66.5
1.84,62
2.77,57
0.32,55
2.5,52.5
0.78,49
2.64,50.5
3.1,54
2.96,53
2.18,64
1.1,53
2.31,62
2.29,54.5
2.78,62.5
3.16,61
2.55,63
2.51,57
1.92,64.5
1.64,62.5
0.87,51
2.43,45
3.08,48
0.79,56.5
1.19,62.5
1.1,68
1.63,65.5
1.54,68
1.48,75.5
3.1,63.5
1.8,64
1.77,63.5
1.94,67
1.71,63
1.37,72.5
2.56,72
0.94,66.5
1.59,63
2.66,63.5
1.51,71.5
1.74,71.5
2.01,71
1.14,64
2.47,62
2.1,72.5
1.09,75.5
0.44,73.5
1.91,72
2.66,69
2.67,65
2.51,70
1.28,66.5
2.63,60
2.62,65.5
2.38,70.5
2.47,72.5
1.73,72.5
1.91,70
2.14,68.5
1.22,71.5
3.81,71
3.11,70
4.31,73.5
3.38,75.5
2.12,78
2.23,79.5
2.55,80
3.97,81
3.98,81.5
2.09,76
2.2,75
1.26,78
2.75,81
2.06,82
2.1,79
4.66,83
1.31,79
2.3,73
2.98,78
1.54,81
0.77,80
2.99,79.5
3.64,77.5
3.14,82.5
2.19,76.5
1.49,81.5
1.39,83
3.09,75
2.3,81
2.47,88.5
1.56,87.5
2.29,81
1.23,70.5
1.94,75
2.24,77
2.84,78.5
2.46,78.5
1.94,79.5
2.26,81.5
2.72,85
2.12,78.5
1.26,78.5
2,78.5
2.32,77
1.7,78
1.25,76
2.5,75
1.8,76.5
2.29,75.5
1.57,75.5
1.62,73.5
2.62,71.5
1.65,76.5
2.23,75
6.4,78.5
2.45,77.5
1.37,73.5
3.35,80
1.17,80
1.89,81
3.24,81.5
1.71,80.5
2.24,80.5
3.94,69.5
2.13,70
2.94,70
1.96,67.5
3.41,68.5
3.08,70.5
4.31,73
2.03,76.5
2.61,75
3.21,70.5
1.04,71.5
2.71,74.5
4.11,77.5
3.72,69.5
2.13,62.5
2.08,65.5
2.13,70
3.31,71
2.95,71
2.92,78.5
3.5,71
1.23,64.5
1.95,67.5
2.48,75
3.16,72.5
4.21,69
3.33,63
3.51,61
3.12,67
1.97,72.5
3.11,76.5
2.94,79.5
3,69.5
2.68,68.5
3.93,73
4.29,67.5
1.87,73.5
2.77,72.5
3.95,65.5
2.19,72
3.43,78
3.41,58
2.87,58
1.84,53
2.35,63.5
3.68,69
3.36,60.5
3.76,55
4.35,62
4.66,59.5
1.55,61
1.86,60
2.87,65
2.86,57.5
2.07,59
6.51,54
3.02,52.5
1.87,51.5
1.73,54
2.67,59
3.96,59
2.16,59.5
3.67,58.5
2.71,58.5
5.35,57.5
1.91,61
5.49,59
3.21,56.5
2.37,60.5
2.9,65.5
